Date,High,Low,Open,Close,Volume,Adj Close
2000-02-28,20.125,19.25,19.25,20.125,35700.0,13.604174613952637
2000-02-29,21.875,21.625,21.75,21.875,79900.0,14.78714656829834
2000-03-01,22.75,21.75,22.5,21.75,140600.0,14.702651977539062
2000-03-02,22.25,22.0,22.0,22.0625,26600.0,14.913890838623047
2000-03-03,22.125,22.0625,22.125,22.125,17300.0,14.956144332885742
2000-03-06,22.25,22.0625,22.0625,22.0625,9900.0,14.913890838623047
2000-03-07,22.125,21.75,22.125,22.0,26200.0,14.871646881103516
2000-03-08,22.1875,22.0,22.0,22.0,31700.0,14.871646881103516
2000-03-09,22.0,21.75,21.875,22.0,7800.0,14.871646881103516
2000-03-10,22.125,21.9375,22.0,22.125,5200.0,14.956144332885742
2000-03-13,23.125,22.25,22.375,22.875,27900.0,15.463127136230469
2000-03-14,23.0,22.875,22.875,22.875,1300.0,15.463127136230469
2000-03-15,24.125,22.625,23.125,24.125,29000.0,16.308115005493164
2000-03-16,25.0,24.125,24.125,24.375,19500.0,16.477108001708984
2000-03-17,24.75,23.375,23.375,24.75,73300.0,16.730607986450195
2000-03-20,24.25,23.875,24.0,24.0,134700.0,16.22361946105957
2000-03-21,24.0,23.75,23.75,24.0,172200.0,16.22361946105957
2000-03-22,23.75,22.625,23.75,22.625,35900.0,15.294135093688965
2000-03-23,22.625,22.5,22.625,22.5,1300.0,15.209634780883789
2000-03-24,22.5,22.375,22.5,22.4375,5600.0,15.167393684387207
2000-03-27,22.1875,22.0,22.1875,22.0625,19600.0,14.913890838623047
2000-03-28,22.0625,19.75,22.0625,20.0,42600.0,13.519676208496094
2000-03-29,19.875,19.75,19.75,19.75,77000.0,13.350680351257324
2000-03-30,20.5,19.8125,19.8125,20.4375,18700.0,13.815420150756836
2000-03-31,20.4375,20.25,20.4375,20.25,23500.0,13.688672065734863
2000-04-03,20.6875,20.25,20.25,20.625,4000.0,13.942169189453125
